IPs,againsts,buildLevels,commentIds,contents,createTimes,favCounts,isDels,is_anonymous,shareCounts,siteNames,sources,user_IDs,user_locations,votes
223.74.*.*,0,1,330803775,全球化时代的中国人应读  新四大名著（外国人上榜一本）：<br><br>1，路遥《平凡的世界》。取代《红楼梦》。<br>理由：奋斗，情感。取代：佛教空文化，表兄妹恋情，女人变成林黛玉。<br><br>2，阿加莎《尼罗河上的惨案》。取代《水浒传》。<br>理由：有逻辑推理，发展思维力；也有惨案，使中国人不至于太天真，对人性恶的一面有所了解；也有爱情描写。<br><br>3，梁衡《数理化通俗演义》。取代《三国演义》。<br>理由：科学普及，故事型，提高中国人科学文化素质。取代：只会内抖。<br><br>4，刘慈欣《三体》。取代《西游记》。<br>理由：科学幻想，发展想象力。取代：佛教鬼文化。,2018-11-18 09:56:46,0,False,False,0,网易,wb,266202890,广东省汕头,1
111.206.*.*,0,1,330804972,GG家家户户v刚刚好,2018-11-18 09:56:18,0,False,True,0,网易,ph,0,北京市海淀区,0
42.236.*.*,0,1,330802930,[石化],2018-11-18 09:55:58,0,False,False,0,网易,ph,48274672,河南省郑州市,0
120.193.*.*,0,1,330805118,有一个悲剧,2018-11-18 09:55:20,0,False,False,0,网易,ph,39231941,内蒙古乌兰察布市,0
112.28.*.*,0,1,330804718,1楼建议是个方向，安全科技方面应不是问题，从新生始抓，立法机制保障。2楼所言可能是手机使用登记部门出现了一些问题，亦或某些违法手段复制盗号，建议人大、纪委、国安等机关加强监督。,2018-11-18 09:54:53,0,False,False,0,网易,ph,95636130,安徽省滁州,0
112.65.*.*,0,3,330802715,賀南和浙江談治安？,2018-11-18 09:54:50,0,False,False,0,网易,3g,105113807,上海市青浦区,12
113.6.*.*,0,10,330802712,抗战十大汉奸浙江四个，广东三个，湖南两个，福建一个……,2018-11-18 09:54:49,0,False,False,0,网易,wb,5679456,黑龙江省哈尔滨,0
117.136.*.*,0,9,330804011,一楼绝对不是浙江人而且还可能是个引战的汉奸[鄙视],2018-11-18 09:51:02,0,False,False,0,网易,ph,97497357,广东省深圳市,0
222.74.*.*,0,3,330802700,可怕的是，很多都不是有前科的,2018-11-18 09:54:46,0,False,False,0,网易,ph,125943715,内蒙古自治区呼和浩特,0
113.6.*.*,0,2,330804347,据说恶性流串犯有七万多，每个县二十多个！,2018-11-18 09:52:48,0,False,False,0,网易,wb,5679456,黑龙江省哈尔滨,9
112.17.*.*,0,3,330802609,1楼可以做第一个测试用户，最好装个内置毒剂，1楼强奸前自动注射防患未然,2018-11-18 09:54:23,0,False,False,0,网易,ph,91720758,浙江省,9
182.246.*.*,1,1,330777228,跟贴被火星网友带走啦~,2018-11-18 09:12:52,0,True,False,0,网易,ph,654130,云南省大理白族自治州,3
112.17.*.*,0,2,330794325,亏你还是MIT的，这种六十年代的想法。,2018-11-18 09:37:57,0,False,False,0,网易,ph,119824160,浙江省杭州市,14
101.206.*.*,0,8,330802594,这种没脑子的都活该，自作孽不可活嘛[狗],2018-11-18 09:54:19,0,False,False,0,网易,ph,100035332,广东省深圳市,0
111.201.*.*,0,1,330804557,这种问题不是个案了，整个社会需要反思，到底哪里出了问题？,2018-11-18 09:54:03,0,False,False,0,网易,ph,122240220,北京市怀柔区,0
223.104.*.*,0,1,330801875,广西金嗓子,2018-11-18 09:53:48,0,False,True,0,网易,ph,0,上海市,0
111.29.*.*,0,1,330804500,广西省？？。。,2018-11-18 09:53:41,0,False,True,0,网易,ph,0,海南省海口市,0
223.104.*.*,0,2,330801814,你懂的…,2018-11-18 09:53:30,0,False,True,0,网易,ph,0,上海市,0
183.159.*.*,0,3,330802452,楼上的先来备个案吧，有空来喝茶,2018-11-18 09:53:18,0,False,False,0,网易,ph,87820855,浙江省杭州市,0
114.102.*.*,0,1,330803294,一一,2018-11-18 09:52:57,0,False,False,0,网易,ph,26272572,安徽省安庆市,0
121.239.*.*,0,1,330804372,应该杀无赦！,2018-11-18 09:52:55,0,False,True,0,网易,ph,0,江苏省苏州市,1
223.104.*.*,0,1,330804160,现在单身女孩胆子都挺大的，可惜了,2018-11-18 09:51:51,0,False,False,0,网易,ph,100954385,云南省,1
112.96.*.*,0,1,330804107,说的谁好想去你们浙江一样,2018-11-18 09:51:31,0,False,False,0,网易,ph,260328540,广东省清远市,0
122.192.*.*,0,1,330802154,没有受过良好教育的人不能进入城市生活。,2018-11-18 09:51:15,0,False,False,0,网易,ph,263425358,江苏省苏州市,0
27.18.*.*,0,5,330801453,死者的名字，不知道还在不在。。,2018-11-18 09:50:55,0,False,False,0,网易,ph,82036003,湖北省武汉,1
124.160.*.*,0,4,330679809,二楼？,2018-11-18 03:44:29,0,False,True,0,网易,ph,0,江西省九江市,1
27.18.*.*,0,2,330678928,公布了，去搜死者的贴吧。只有一个人，就是这个变态。。。,2018-11-18 03:27:37,0,False,False,0,网易,ph,82036003,湖北省武汉市,0
118.116.*.*,0,6,330802066,嘿，Fuckfack，你有多漂亮？你要是18岁，再丑我蒙着头都敢上，不分男女。年轻就是美。[狗],2018-11-18 09:50:45,0,False,False,0,网易,ph,1356537,四川省成都,0
120.230.*.*,0,5,330798076,那是你长得丑，长得好看点命早没有了。,2018-11-18 09:43:40,0,False,False,0,网易,wb,1447258,广东省,2
125.70.*.*,0,1,330799896,太悲惨了，女生别把中国想得太安全，每个地方都有人渣，碰到可能就没有后悔药吃，你完全无法知道他的想法，就是杀了这恶徒也于事无补，结伴同行就要安全得多。,2018-11-18 09:50:16,0,False,True,0,网易,ph,0,四川省宜宾市,0
125.118.*.*,0,3,330797692,跟贴被火星网友带走啦~,2018-11-18 09:45:50,0,True,False,0,网易,3g,376480,浙江省杭州,0
223.88.*.*,0,4,330800617,呵呵，这地方人好玩。😄,2018-11-18 09:49:16,0,False,True,0,网易,ph,0,河南省洛阳,0
223.88.*.*,0,2,330797275,心虚?,2018-11-18 09:43:10,0,False,True,0,网易,ph,0,河南省洛阳,3
106.39.*.*,0,1,330800510,杀人偿命,2018-11-18 09:48:45,0,False,False,0,网易,ph,88465455,北京市海淀区,1
61.187.*.*,0,1,330798727,渣子，你觉得你还活的了么?,2018-11-18 09:48:22,0,False,False,0,网易,ph,261174081,湖北省黄冈市,1
36.157.*.*,0,1,330797973,现在这个社会，任何年轻漂亮女性如果相信社会阳光无处不在，路不拾遗什么的，那一定是她还没长大。,2018-11-18 09:47:45,0,False,False,0,网易,ph,263010531,湖南省,1
183.211.*.*,0,1,330800246,杀人者偿命,2018-11-18 09:47:40,0,False,False,0,网易,ph,13752968,江苏省镇江市,0
